"TIME (Europe/Istanbul)","binance","binance","bittrex","bittrex","bitfinex","bitfinex"
"2023-06-19 11:31:00",15.084199999999996,-23.928699999999996,0,0,0.26935791,-0.004
"2023-06-19 11:32:00",4.785599999999998,-2.3644999999999996,0,0,0,0
"2023-06-19 11:33:00",17.25889999999999,-8.082600000000001,0,0,0,0
"2023-06-19 11:34:00",67.75129999999999,-79.00589999999998,0.012,-0.0119,0,-0.2528327
"2023-06-19 11:35:00",15.265999999999998,-51.9358,0,-0.00016869,0.00928832,0
"2023-06-19 11:36:00",7.146299999999997,-4.792599999999999,0,0,0,0
"2023-06-19 11:37:00",11.061900000000003,-35.30459999999999,6.58423084,0,0,0
"2023-06-19 11:38:00",22.2231,-343.44280000000003,0,0,0.00580134,-10.54429078
"2023-06-19 11:39:00",92.71020000000003,-258.9935,0.13964614,-0.00290392,9.327104310000003,-5.193113309999998
"2023-06-19 11:40:00",38.905999999999985,-101.55819999999999,0,0,0,-0.65422169
"2023-06-19 11:41:00",81.56670000000004,-70.49489999999996,0,0,4.421878779999999,-1.65780356
"2023-06-19 11:42:00",39.86689999999998,-87.17390000000005,0.46324042,0,16.04461655,-0.17573524000000001
"2023-06-19 11:43:00",5.8777,-56.23979999999997,0,0,0,-0.0225973
"2023-06-19 11:44:00",10.0092,-16.928699999999992,0,0,0.6493352800000001,0
"2023-06-19 11:45:00",41.00280000000002,-43.98599999999999,0,0,100.00351087999998,-2.925
"2023-06-19 11:46:00",4.957300000000002,-29.015700000000006,0,0,24.902602149999996,-0.037
"2023-06-19 11:47:00",38.41900000000002,-251.9289,0,0,0,-11.53698549
"2023-06-19 11:48:00",16.601200000000006,-30.136300000000013,0,0,0,0
"2023-06-19 11:49:00",37.042300000000004,-97.72300000000004,0,0,0.28873524,-0.012
"2023-06-19 11:50:00",3.6788000000000003,-5.1774000000000004,0,0,0,-0.004
"2023-06-19 11:51:00",42.26759999999998,-3.9649,0,0,0,0
"2023-06-19 11:52:00",15.752099999999999,-107.25290000000003,0,0,0,-0.052000000000000005
"2023-06-19 11:53:00",8.428099999999995,-19.534399999999987,0,0,0.01587355,0
"2023-06-19 11:54:00",8.331,-7.030599999999999,0,0,0.13045933,-0.052000000000000005
"2023-06-19 11:55:00",3.1827999999999994,-25.4379,0,0,0,-0.00330335
"2023-06-19 11:56:00",50.60820000000003,-3.0601000000000007,0,0,0,-0.43679913
"2023-06-19 11:57:00",5.888299999999999,-3.8208,0,0,0,0
"2023-06-19 11:58:00",19.029300000000006,-34.50130000000001,0,0,0,0
"2023-06-19 11:59:00",18.610000000000003,-9.698900000000002,0,0,0,-0.00442902
"2023-06-19 12:00:00",8.600999999999999,-8.8736,0,0,0.00406338,-0.03321
"2023-06-19 12:01:00",157.9298,-5.861000000000001,0,0,0.2295315,0
"2023-06-19 12:02:00",14.246199999999998,-35.26449999999999,0,0,0.032568,-0.03546353
"2023-06-19 12:03:00",55.401800000000016,-9.157700000000002,0,0,0,0
"2023-06-19 12:04:00",32.0641,-4.310999999999998,0,0,0,0
"2023-06-19 12:05:00",14.1049,-3.9878,0,-0.0002774,0.0056,-0.425898
"2023-06-19 12:06:00",17.117600000000007,-3.2348,0.0070674,0,0.002,0
"2023-06-19 12:07:00",42.79679999999999,-9.621100000000002,0.22051884,0,0.002,0
"2023-06-19 12:08:00",9.575599999999998,-50.96780000000002,0,0,0.00366342,0
"2023-06-19 12:09:00",9.768799999999999,-110.57549999999995,0,0,0,0
"2023-06-19 12:10:00",5.488299999999998,-19.100999999999996,0,0,0,0
